timestamp,motor_id,position,velocity,torque
1784249386.756873,0,0.652610,-0.011632,0.000000
1784249386.766005,0,0.665969,1.969704,0.035156
1784249386.775887,0,0.684659,1.942562,0.035156
1784249386.785981,0,0.704015,1.938685,0.027344
1784249386.795832,0,0.723099,2.027864,0.019531
1784249386.805857,0,0.741547,1.818486,0.019531
1784249386.815892,0,0.760691,1.787467,0.027344
1784249386.825874,0,0.779897,1.958072,0.023438
1784249386.836102,0,0.799011,2.031742,0.007812
1784249386.845773,0,0.818852,1.810732,0.035156
1784249386.855772,0,0.838269,1.845628,0.023438
1784249386.866012,0,0.857202,2.008477,0.019531
1784249386.875869,0,0.877285,1.892156,0.027344
1784249386.885865,0,0.896733,1.884402,0.027344
1784249386.895852,0,0.916059,1.876647,0.011719
1784249386.905800,0,0.935113,1.853383,0.011719
1784249386.915896,0,0.953954,1.861138,0.035156
1784249386.925878,0,0.972674,1.938685,0.011719
1784249386.935751,0,0.991849,2.031742,0.007812
1784249386.945854,0,1.010873,1.806854,0.035156
1784249386.955992,0,1.031108,1.884402,0.027344
1784249386.965764,0,1.050616,1.857260,0.011719
1784249386.975803,0,1.069730,1.989091,0.027344
1784249386.985930,0,1.089208,1.888279,0.039062
1784249386.995816,0,1.108776,1.837873,0.011719
1784249387.006000,0,1.127436,1.981336,0.023438
1784249387.015879,0,1.146005,1.764203,0.027344
1784249387.025798,0,1.166543,1.899911,0.011719
1784249387.035775,0,1.185930,2.043374,0.007812
1784249387.045775,0,1.205014,1.861138,0.027344
1784249387.055704,0,1.223704,1.837873,0.027344
1784249387.066260,0,1.242697,1.865015,0.019531
1784249387.076260,0,1.262023,1.969704,0.027344
1784249387.086301,0,1.281410,1.806854,0.019531
1784249387.096120,0,1.300797,1.876647,0.019531
1784249387.105908,0,1.319760,1.942562,0.019531
1784249387.116076,0,1.338935,1.818486,0.027344
1784249387.126114,0,1.358594,1.915421,0.019531
1784249387.136245,0,1.377678,2.008477,0.011719
1784249387.146170,0,1.397186,1.868892,0.035156
1784249387.155892,0,1.416664,1.907666,0.023438
1784249387.166049,0,1.435596,1.992968,0.019531
1784249387.176284,0,1.455165,1.938685,0.023438
1784249387.186132,0,1.474521,1.826241,0.027344
1784249387.195752,0,1.493847,1.865015,0.023438
1784249387.205753,0,1.512962,2.012355,0.019531
1784249387.216102,0,1.532076,1.985213,0.023438
1784249387.226266,0,1.551736,1.841751,0.011719
1784249387.236087,0,1.572001,1.985213,0.007812
1784249387.245859,0,1.591206,1.907666,0.035156
1784249387.255872,0,1.610502,1.896034,0.019531
1784249387.266279,0,1.629131,1.880524,0.019531
1784249387.275925,0,1.648821,1.969704,0.023438
1784249387.286114,0,1.667451,1.876647,0.027344
1784249387.295881,0,1.687443,1.876647,0.019531
1784249387.305829,0,1.706618,1.946440,0.007812
1784249387.316056,0,1.725672,1.872770,0.027344
1784249387.325816,0,1.745331,1.853383,0.019531
1784249387.335948,0,1.764567,2.008477,0.023438
1784249387.345868,0,1.782378,1.806854,0.042969
1784249387.356107,0,1.802341,1.857260,0.023438
1784249387.365797,0,1.821061,2.016232,0.023438
1784249387.375824,0,1.841357,1.934808,0.027344
1784249387.385821,0,1.860168,1.915421,0.035156
1784249387.396011,0,1.879131,1.992968,0.019531
1784249387.406085,0,1.898457,1.992968,0.027344
1784249387.416243,0,1.917571,1.872770,0.027344
1784249387.426150,0,1.936686,1.958072,0.019531
1784249387.436132,0,1.956315,1.977458,0.023438
1784249387.446106,0,1.975308,1.907666,0.035156
1784249387.456069,0,1.994634,1.927053,0.019531
1784249387.466255,0,2.014263,2.008477,0.011719
1784249387.475893,0,2.033953,1.826241,0.027344
1784249387.485881,0,2.053128,1.830119,0.035156
1784249387.496094,0,2.072242,2.016232,0.023438
1784249387.506115,0,2.090993,1.888279,0.027344
1784249387.516158,0,2.110228,1.923175,0.027344
1784249387.525754,0,2.130372,2.051129,0.023438
1784249387.535881,0,2.149487,1.892156,0.023438
1784249387.545937,0,2.168025,1.899911,0.035156
1784249387.556069,0,2.187776,2.000723,0.023438
1784249387.566265,0,2.206314,1.934808,0.023438
1784249387.575911,0,2.226216,1.892156,0.027344
1784249387.586073,0,2.245027,1.868892,0.035156
1784249387.595875,0,2.264081,1.896034,0.023438
1784249387.605878,0,2.283619,2.020110,0.023438
1784249387.615997,0,2.302794,1.783590,0.039062
1784249387.625870,0,2.322423,1.903789,0.007812
1784249387.635883,0,2.341598,1.981336,0.027344
1784249387.646244,0,2.360197,1.946440,0.023438
1784249387.656040,0,2.379402,1.965827,0.011719
1784249387.665724,0,2.398244,1.958072,0.019531
1784249387.676290,0,2.417691,1.919298,0.027344
1784249387.686087,0,2.436957,1.841751,0.039062
1784249387.696045,0,2.456314,1.907666,0.011719
1784249387.706271,0,2.475488,1.818486,0.027344
1784249387.715977,0,2.494754,1.857260,0.035156
1784249387.725892,0,2.514020,2.004600,0.007812
1784249387.736153,0,2.532922,1.896034,0.035156
1784249387.746248,0,2.552309,1.865015,0.023438
1784249387.755881,0,2.572029,1.930930,0.023438
1784249387.767234,0,2.591991,1.923175,0.011719
1784249387.776855,0,2.611348,1.818486,0.027344
1784249387.787021,0,2.630644,1.923175,0.027344
1784249387.796243,0,2.648668,1.841751,0.007812
1784249387.805825,0,2.668630,1.961949,0.039062
1784249387.816098,0,2.686624,1.861138,0.035156
1784249387.825857,0,2.707101,2.004600,0.023438
1784249387.836280,0,2.724912,1.915421,0.035156
1784249387.845731,0,2.744935,1.849505,0.035156
1784249387.855859,0,2.764050,1.973581,0.027344
1784249387.865803,0,2.783740,1.973581,0.023438
1784249387.875986,0,2.802096,1.992968,0.035156
1784249387.885715,0,2.822513,1.865015,0.023438
1784249387.895813,0,2.841779,1.880524,0.019531
1784249387.906092,0,2.859863,1.849505,0.027344
1784249387.915880,0,2.880219,1.861138,0.023438
1784249387.925833,0,2.899637,2.000723,0.011719
1784249387.935806,0,2.918751,1.942562,0.023438
1784249387.945877,0,2.938016,1.791345,0.027344
1784249387.955819,0,2.956979,1.996845,0.011719
1784249387.965834,0,2.975669,1.853383,0.011719
1784249387.975873,0,2.995056,1.896034,0.027344
1784249387.985779,0,3.015473,1.923175,0.023438
1784249387.995872,0,3.035042,1.934808,0.011719
1784249388.005889,0,3.053762,1.930930,0.027344
1784249388.015790,0,3.073664,1.911543,0.023438
1784249388.026195,0,3.091809,1.896034,0.011719
1784249388.036232,0,3.110953,1.896034,0.023438
1784249388.046256,0,3.130885,1.892156,0.035156
1784249388.055951,0,3.150121,2.043374,0.019531
1784249388.066051,0,3.169417,2.035619,0.007812
1784249388.075727,0,3.188379,1.884402,0.035156
1784249388.085875,0,3.207796,1.985213,0.019531
1784249388.096120,0,3.227213,1.919298,0.011719
1784249388.105918,0,3.246510,1.833996,0.027344
1784249388.115980,0,3.265866,1.872770,0.019531
1784249388.125944,0,3.285738,1.969704,0.011719
1784249388.136990,0,3.305336,1.992968,0.023438
1784249388.147229,0,3.324542,1.833996,0.035156
1784249388.155766,0,3.343807,1.896034,0.023438
1784249388.166184,0,3.362104,1.977458,0.011719
1784249388.176245,0,3.381248,1.884402,0.039062
1784249388.186227,0,3.400150,1.989091,0.023438
1784249388.196242,0,3.419416,1.934808,0.023438
1784249388.206063,0,3.438742,1.930930,0.035156
1784249388.216213,0,3.457796,1.857260,0.023438
1784249388.225724,0,3.477304,1.899911,0.019531
1784249388.236234,0,3.495812,1.899911,0.035156
1784249388.246217,0,3.515563,1.779713,0.035156
1784249388.256245,0,3.534677,1.880524,0.027344
1784249388.266031,0,3.553882,2.031742,0.011719
1784249388.276211,0,3.572784,1.896034,0.035156
1784249388.285816,0,3.592171,2.008477,0.019531
1784249388.295911,0,3.611103,1.896034,0.023438
1784249388.306042,0,3.630490,1.965827,0.039062
1784249388.317228,0,3.650968,1.934808,0.027344
1784249388.325810,0,3.669264,1.818486,0.023438
1784249388.337218,0,3.689226,1.969704,0.027344
1784249388.345882,0,3.707947,1.884402,0.035156
1784249388.356049,0,3.726970,1.896034,0.027344
1784249388.365833,0,3.746630,1.985213,0.027344
1784249388.377036,0,3.765895,1.946440,0.039062
1784249388.386771,0,3.785070,1.919298,0.011719
1784249388.395827,0,3.803851,1.849505,0.019531
1784249388.405756,0,3.823056,1.818486,0.027344
1784249388.415762,0,3.842352,1.768081,0.027344
1784249388.425889,0,3.861194,1.996845,0.019531
1784249388.435765,0,3.880520,1.973581,0.027344
1784249388.445669,0,3.899937,1.934808,0.027344
1784249388.455672,0,3.918597,1.865015,0.019531
1784249388.465682,0,3.938075,1.837873,0.035156
1784249388.475667,0,3.957340,1.868892,0.035156
1784249388.485680,0,3.976636,1.958072,0.011719
1784249388.495746,0,3.995478,1.965827,0.023438
1784249388.505668,0,4.014713,1.822364,0.035156
1784249388.515757,0,4.034282,1.888279,0.023438
1784249388.525825,0,4.053154,2.023987,0.023438
1784249388.535786,0,4.072389,1.896034,0.027344
1784249388.545892,0,4.090958,1.934808,0.023438
1784249388.555693,0,4.110315,2.062761,0.011719
1784249388.565754,0,4.129369,1.853383,0.039062
1784249388.575821,0,4.148483,1.841751,0.035156
1784249388.585817,0,4.167688,2.058883,0.011719
1784249388.595744,0,4.186560,1.985213,0.027344
1784249388.605749,0,4.206007,1.814609,0.023438
1784249388.615782,0,4.226575,1.861138,0.019531
1784249388.625963,0,4.245174,2.004600,0.019531
1784249388.636960,0,4.265349,1.946440,0.035156
1784249388.646056,0,4.283887,1.888279,0.027344
1784249388.655773,0,4.303547,1.969704,0.019531
1784249388.665809,0,4.322298,1.892156,0.027344
1784249388.676999,0,4.342139,1.826241,0.035156
1784249388.685777,0,4.361587,2.000723,0.023438
1784249388.697184,0,4.380640,1.938685,0.027344
1784249388.705981,0,4.399421,1.938685,0.023438
1784249388.715744,0,4.419232,1.837873,0.023438
1784249388.725887,0,4.437407,1.907666,0.027344
1784249388.736174,0,4.456491,1.768081,0.039062
1784249388.746204,0,4.475939,1.849505,0.027344
1784249388.755643,0,4.495083,1.892156,0.003906
1784249388.765989,0,4.513561,1.787467,0.035156
1784249388.776038,0,4.533463,1.969704,0.027344
1784249388.786047,0,4.552729,2.051129,0.019531
1784249388.796039,0,4.571480,1.861138,0.035156
1784249388.806193,0,4.590745,1.888279,0.035156
1784249388.815864,0,4.609677,1.896034,0.023438
1784249388.825894,0,4.628671,1.930930,0.023438
1784249388.836224,0,4.648240,1.849505,0.042969
1784249388.845892,0,4.667656,1.981336,0.027344
1784249388.855777,0,4.686680,1.969704,0.011719
1784249388.866015,0,4.705824,1.810732,0.042969
1784249388.876029,0,4.724969,1.899911,0.023438
1784249388.885700,0,4.744113,1.950317,0.023438
1784249388.896203,0,4.762531,1.849505,0.039062
1784249388.906033,0,4.782220,1.946440,0.035156
1784249388.916040,0,4.800911,1.896034,0.023438
1784249388.926205,0,4.819813,1.942562,0.027344
1784249388.935696,0,4.839200,1.868892,0.039062
1784249388.946198,0,4.858375,1.950317,0.019531
1784249388.956184,0,4.877337,1.961949,0.023438
1784249388.966036,0,4.896482,1.853383,0.035156
1784249388.976002,0,4.915808,1.911543,0.019531
1784249388.985945,0,4.934952,1.965827,0.019531
1784249388.995646,0,4.953855,1.833996,0.035156
1784249389.006050,0,4.973000,1.799100,0.027344
1784249389.016149,0,4.992386,1.969704,0.011719
1784249389.026164,0,5.011985,1.872770,0.023438
1784249389.036167,0,5.031463,1.861138,0.027344
1784249389.046170,0,5.050244,1.911543,0.011719
1784249389.056183,0,5.069509,1.923175,0.023438
1784249389.066014,0,5.088987,1.830119,0.027344
1784249389.075814,0,5.108919,2.004600,0.003906
